animal_name;fourrure épaisse;Troupeau ou groupe;charognard;queue rayée;griffes;desert;sang humain;nocturne;long cou;défenses;cornes;Creux de la main;Petit d un animal;Ville;Comestible en europe;Proche de l eau;Forêt;Jungle;Canindé;Félin;Savane africaine;Poids;Poils;Plumes;Oeufs;Lait;Vole;Aquatique;Predateur;Dents;Colonne vertebrale;Respirer;Venimeux;Nageoires;Queue;Domestique;0_pattes;2_pattes;4_pattes;5_pattes;6_pattes;8_pattes;Mammifères;Oiseaux;Reptile;Poisson;Amphibien;Insecte;Invertébré
jaguar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
orang outan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
lamantin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0
fourmilier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
buse;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Moineau;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Pigeon;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Perroquet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Hibou;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Chouette;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Colibri;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Aigle;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Toucan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Goéland;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Chacal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Fennec;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Hyène;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Renard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Écureuil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Blaireau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Alpaga;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0
Âne;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0
Cachalot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Castor;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Chameau;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0
Dromadaire;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Cochon   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0
Hérisson;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Kangourou;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Mouton;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0
Narval;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
Okapi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
